Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
22822858,A Little Life,Hanya Yanagihara,"Yanagihara, Hanya",,"=""0385539258""","=""9780385539258""",5,4.31,Doubleday,Hardcover,720,2015,2015,2019/01/23,2015/07/08,"fiction, library, award-winning, emotional, diversity","fiction (#272), library (#3), award-winning (#58), emotional (#21), diversity (#4)",read,"Wow. It’s rare that a book this long can hold my attention. The investment in the characters, on their own and in terms of their relationships with each other, is incredible. The descriptions of the depths of some really terrible life experiences are raw and painful, but so insightful into humanity.",,,1,,,0,,,,,
35915084,The Astonishing Color of After,Emily X.R. Pan,"Pan, Emily X.R.",,"=""""","=""""",5,4.11,"Little, Brown Books for Young Readers",Kindle Edition,480,2018,2018,2018/05/17,2018/04/10,"emotional, fiction, kindle, young-adult, diversity","emotional (#15), fiction (#383), kindle (#280), young-adult (#17), diversity (#3)",read,"This story is a powerful exploration of depression and suicide. The use of color is, in a word, astonishing. The author tells the story through the eyes of a teenager, who doesn’t fully understand her emotions but tries to describe them using color, a powerful literary tool. The reader truly feels the tension, the sorrow, the confusion, and the love.",,,1,,,0,,,,,
32075671,"The Hate U Give (The Hate U Give, #1)",Angie Thomas,"Thomas, Angie",,"=""0062498533""","=""9780062498533""",5,4.52,Balzer + Bray,Hardcover,444,2017,2017,2019/02/26,2018/11/17,"emotional, fiction, library, award-winning, made-into-movie, young-adult, diversity","emotional (#19), fiction (#404), library (#9), award-winning (#61), made-into-movie (#137), young-adult (#2), diversity (#1)",read,Difficult and important.<br/>Checking my privilege.,,,1,,,0,,,,,
40670008,Before the Fall,Noah Hawley,"Hawley, Noah",,"=""""","=""""",3,3.72,Grand Central Publishing,Kindle Edition,401,2016,2016,2019/03/22,2018/11/22,"fiction, library","fiction (#407), library (#17)",read,"Since I just finished, I’ll start with the fact that I really didn’t like the ending. It felt very abrupt and out of theme with the rest of the book. The characters entwined in some interesting story arcs, but overall it felt disjointed.",,,1,,,0,,,,,
184327,"The Demon Under the Microscope: From Battlefield Hospitals to Nazi Labs, One Doctor's Heroic Search for the World's First Miracle Drug",Thomas Hager,"Hager, Thomas",,"=""1400082137""","=""9781400082131""",0,4.06,Harmony,Hardcover,340,2006,2006,,2019/03/17,"to-read, biology, history, history-of-science, learning, nonfiction, science","to-read (#482), biology (#99), history (#141), history-of-science (#73), learning (#88), nonfiction (#306), science (#198)",to-read,,,,0,,,0,,,,,
252577,"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,"McCourt, Frank",,"=""0007205236""","=""9780007205233""",0,4.11,Harper Perennial,Paperback,452,2005,1996,,2014/02/09,"to-read, top-100-lifetime, fiction, library","to-read (#55), top-100-lifetime (#59), fiction (#78), library (#43)",to-read,,,,0,,,0,,,,,
30659,Meditations,Marcus Aurelius,"Aurelius, Marcus","Martin Hammond, Albert Wittstock, Diskin Clay","=""0140449337""","=""9780140449334""",4,4.23,Penguin Books,Paperback,303,2006,180,2017/01/15,2015/05/31,"classics, history, nonfiction, philosophy, kindle","classics (#87), history (#45), nonfiction (#111), philosophy (#6), kindle (#74)",read,,,,1,,,0,,,,,
16160797,"The Cuckoo's Calling (Cormoran Strike, #1)",Robert Galbraith,"Galbraith, Robert",,"=""0316206849""","=""9780316206846""",3,3.86,"Mulholland Books / Little, Brown and Company",Hardcover,456,2013,2013,2019/03/11,2019/01/16,"fiction, library","fiction (#421), library (#14)",read,Not bad but nothing special. Classic detective mystery.,,,1,,,0,,,,,
41739312,Madame Fourcade's Secret War: The Daring Young Woman Who Led France's Largest Spy Network Against Hitler,Lynne Olson,"Olson, Lynne",,"=""""","=""""",0,4.23,Random House,Kindle Edition,464,2019,2019,,2019/03/09,"to-read, biography, history, learning, new, nonfiction","to-read (#481), biography (#85), history (#140), learning (#87), new (#39), nonfiction (#305)",to-read,,,,0,,,0,,,,,
32279708,Fierce Femmes and Notorious Liars,Kai Cheng Thom,"Thom, Kai Cheng",,"=""0994047134""","=""9780994047137""",0,4.33,Metonymy Press,Paperback,188,2016,2016,,2019/03/08,"to-read, highly-recommended, fantasy, fiction","to-read (#480), highly-recommended (#142), fantasy (#39), fiction (#441)",to-read,,,,0,,,0,,,,,
