Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
9657712,Four Fish: The Future of the Last Wild Food,Paul   Greenberg,"Greenberg, Paul",,"=""014311946X""","=""9780143119463""",4,4.06,Penguin (Non-Classics),Paperback,304,2011,2010,2020/12/20,2015/07/08,"biology, nonfiction, ocean, science, st-thomas, review","biology (#49), nonfiction (#103), ocean (#28), science (#215), st-thomas (#52), review (#68)",read,,,,1,0
8727908,Being Wrong: Adventures in the Margin of Error,Kathryn Schulz,"Schulz, Kathryn",,"=""""","=""""",4,3.94,,Kindle Edition,420,,2010,2018/05/26,2015/06/16,"nonfiction, science, kindle, review","nonfiction (#98), science (#88), kindle (#270), review (#67)",read,"“Even if you can’t be brought to believe that error itself is a good thing, I hope to convince you by the end of this book that it is inseparably linked to other good things, things we definitely do not want to illuminate – like, say, our intelligence.” Making a mistake might not feel good, but error is akin in spirit to hope. When viewed with a positive attitude, error represents a false view of reality, and therefore opportunity for growth and improvement. “To fuck up is to find adventure: it is in that spirit that this book is written.”<br/>Why is it that we have so much trouble accepting our own fallibility? This book explores that theme and more in finer detail than you’d ever think would be interesting. There are so many aspects of our lives in which we are wrong, and yet we can’t seem to understand that to err is human, let alone accept it. This aptly-named book teaches us not how to avoid making mistakes but how to keep an open mind and embrace our imperfections.",,,1,0
30659,Meditations,Marcus Aurelius,"Aurelius, Marcus",Martin Hammond,"=""0140449337""","=""9780140449334""",4,4.28,Penguin Books,Paperback,254,2006,180,2017/01/15,2015/05/31,"classics, history, nonfiction, philosophy, kindle, review","classics (#83), history (#39), nonfiction (#92), philosophy (#6), kindle (#74), review (#66)",read,,,,1,0
49247151,Cubed: The Puzzle of Us All,Ernö Rubik,"Rubik, Ernö",,"=""1250217776""","=""9781250217776""",4,3.72,Flatiron Books,Hardcover,208,2020,,2020/10/28,2020/09/19,"biography, library, nonfiction, science, review","biography (#96), library (#188), nonfiction (#337), science (#205), review (#65)",read,"Adorably nerdy, with fascinating insight.",,,1,0
8229281,"Guns, Germs, and Steel",Jared Diamond,"Diamond, Jared",,"=""""","=""""",4,4.04,W. W. Norton & Company,Kindle Edition,425,2009,1997,2019/07/23,2014/02/09,"top-100-lifetime, history, kindle, nonfiction, award-winning, munger, science, biology, review","top-100-lifetime (#65), history (#1), kindle (#51), nonfiction (#77), award-winning (#28), munger (#6), science (#180), biology (#90), review (#64)",read,,,,1,0
23364274,How to Clone a Mammoth: The Science of De-Extinction,Beth Shapiro,"Shapiro, Beth",,"=""0691157057""","=""9780691157054""",4,3.93,Princeton University Press,Hardcover,220,2015,2015,2015/06/20,2015/05/11,"history-of-science, biology, nonfiction, science, kindle, review","history-of-science (#22), biology (#42), nonfiction (#83), science (#78), kindle (#71), review (#63)",read,,,,1,0
12862541,Darwin's Ghosts: The Secret History of Evolution,Rebecca Stott,"Stott, Rebecca",,"=""1400069378""","=""9781400069378""",4,3.75,Spiegel & Grau,Hardcover,396,2012,2012,2020/12/22,2014/05/20,"biology, science, history, history-of-science, nonfiction, library, review","biology (#22), science (#35), history (#109), history-of-science (#55), nonfiction (#228), library (#231), review (#62)",read,,,,1,0
7237456,Packing for Mars: The Curious Science of Life in the Void,Mary Roach,"Roach, Mary",,"=""0393068471""","=""9780393068474""",4,3.95,W. W. Norton & Company,Hardcover,334,2010,2010,2020/11/29,2015/04/20,"science, space, nonfiction, biology, kindle, review","science (#62), space (#7), nonfiction (#50), biology (#45), kindle (#169), review (#61)",read,,,,1,0
545826,Sea Change: A Message of the Oceans,Sylvia A. Earle,"Earle, Sylvia A.",,"=""0449910652""","=""9780449910658""",4,4.23,Ballantine Books,Paperback,361,1996,1995,2015/10/16,2015/02/05,"science, nonfiction, ocean, biology, biography, diving, history-of-science, st-thomas, review","science (#52), nonfiction (#39), ocean (#24), biology (#30), biography (#28), diving (#13), history-of-science (#33), st-thomas (#9), review (#60)",read,,,,1,0
6329013,On the Origin of Species (Large Print Edition),Charles Darwin,"Darwin, Charles",,"=""0554267381""","=""9780554267388""",4,4.01,BiblioLife,Hardcover,616,2008,1859,,2014/12/18,"biology, classics, nonfiction, science, st-thomas, review","biology (#28), classics (#76), nonfiction (#25), science (#47), st-thomas (#10), review (#58)",read,,,,1,0
